Freq,S11dB,S11deg,S21dB,S21deg,S12dB,S12deg,S22dB,S22deg,5V Supply Current [A],2V Supply Current [A],-3V3 Supply Current [A],5V Supply Voltage [V],2V Supply Voltage [V],-3V3 Supply Voltage [V],5V Supply Quiescent Current [A],2V Supply Quiescent Current [A],-3V3 Supply Quiescent Current [A],sn,path,temp,group_delay_ns,group_delay_ns_60_mhz,S21dB_60_mhz,group_delay_ns_120_mhz,S21dB_120_mhz,group_delay_ns_250_mhz,S21dB_250_mhz,group_delay_ns_400_mhz,S21dB_400_mhz,group_delay_ns_500_mhz,S21dB_500_mhz,group_delay_ns_1000_mhz,S21dB_1000_mhz,group_delay_ns_2400_mhz,S21dB_2400_mhz
28400000000.0,-8.239740000000001,-362.9689,51.82445245534965,-871.6735333333336,-70.3973,-1064.8331999999998,-11.712993333333335,-117.5994,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.5769873456789993,0.016013580246877934,0.10633130592034234,0.02168240740737315,0.36772998837503224,0.11681080246916453,1.2964165808554213,0.15703888888890627,1.7297663855945302,0.15703888888890627,2.0707752800066004,0.18948672839504677,3.6829442891518767,0.2035450617283565,7.646663883169715
28410000000.0,-8.256306666666669,-370.7234,51.849571892693916,-877.353377777778,-70.401,-1060.5106,-11.871986666666666,-123.50360000000002,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.569612345679015,0.016013580246877934,0.0854584531639091,0.02679969135801774,0.28253343074672443,0.13022314814810265,1.1809223657765386,0.15703888888890627,1.7132235211014617,0.15703888888890627,2.2011643536200864,0.18367191358019208,3.628195566582967,0.2035450617283565,7.646663883169715
28420000000.0,-8.287813333333334,-379.1498,51.8403154934354,-882.9747422222225,-72.3618,-1080.3565,-12.136526666666668,-128.0237,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.5609737654321214,0.016013580246877934,0.13225920069701402,0.03465771604935086,0.36151793706276436,0.13922870370364393,1.0480847884230542,0.15703888888890627,1.669747948660131,0.15703888888890627,2.3322184478058645,0.18153827160491742,3.562407511481787,0.2035450617283565,7.646663883169715
28430000000.0,-8.325660000000001,-377.5033,51.81928970604436,-888.5923888888892,-74.0842,-1079.3875,-12.520133333333334,-130.8749,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.565859567901241,0.02168240740737315,0.21000596330461008,0.05831975308638748,0.42936912208657674,0.1475651234567812,0.8981932265917294,0.15703888888890627,1.6512857062299418,0.15703888888890627,2.4483567592046285,0.1727858024691089,3.4947741310389873,0.2035450617283565,7.646663883169715
28440000000.0,-8.395306666666668,-377.3994,51.76411343953001,-894.2489311111115,-71.0699,-1081.2267,-12.959833333333334,-131.7752,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.5711209876543342,0.02679969135801774,0.27327703148820603,0.08511358024686877,0.48333633666446474,0.1523416666666717,0.7561411440605781,0.15703888888890627,1.735834863271144,0.15703888888890627,2.5618869770747708,0.17248055555553443,3.4091712236454015,0.2035450617283565,7.646663883169715
28450000000.0,-8.471926666666668,-380.532,51.7173126919969,-899.9044600000004,-72.166,-1099.6354,-13.437833333333337,-133.6188,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.5741070987654349,0.029771913580231235,0.33123575041320663,0.1027243827160218,0.519775916216453,0.15463888888885924,0.6155580110019514,0.15703888888890627,1.8113125186084105,0.15703888888890627,2.6306583926879696,0.17248055555553443,3.3187663614621883,0.2035450617283565,7.646663883169715
28460000000.0,-8.468280000000002,-383.3625,51.639565929389306,-905.5825022222226,-71.7361,-1102.1183,-13.917586666666669,-133.3463,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.5826561728394946,0.04817253086417472,0.34391066892266764,0.11681080246916453,0.5373956546917213,0.15703888888890627,0.5579977363527604,0.15703888888890627,1.8413206649996283,0.15703888888890627,2.693269723313442,0.17214845679013346,3.2546671525305158,0.2035450617283565,7.646663883169715
28470000000.0,-8.46434666666667,-385.2473,51.56703846194719,-911.2995844444448,-74.6875,-1103.1226,-14.386373333333335,-131.2119,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.5877734567901391,0.07198024691355531,0.3510771359674507,0.13022314814810265,0.548741337094242,0.15703888888890627,0.5579977363527604,0.15703888888890627,1.872747388506248,0.15703888888890627,2.7086610351517493,0.16438796296294234,3.1885533134208757,0.2035450617283565,7.646663883169715
28480000000.0,-8.578813333333335,-391.5779,51.48805395563115,-917.0144711111116,-72.4377,-1115.1873999999998,-14.8062,-128.97090000000003,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.5956314814814723,0.08104197530864865,0.30976995291184295,0.1343429012345243,0.5277155497032027,0.15703888888890627,0.5579977363527604,0.15703888888890627,1.8733914848261293,0.15703888888890627,2.702723793339217,0.16438796296294234,3.1345812036739744,0.2035450617283565,7.646663883169715
28490000000.0,-8.771706666666669,-397.8998,51.42020277060734,-922.7881311111114,-72.5657,-1121.406,-15.135360000000002,-125.18120000000002,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.619293518518509,0.09001111111114679,0.2548622239449969,0.13741790123456843,0.4725392831888513,0.15703888888890627,0.5579977363527604,0.15703888888890627,1.854084125342787,0.15703888888890627,2.6742558046300715,0.16438796296294234,3.0875533430003443,0.2035450617283565,7.646663883169715
28500000000.0,-9.124906666666666,-403.2276,51.36623555602945,-928.6733844444448,-78.3082,-1119.4879,-15.394766666666671,-120.9692,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.6460873456789902,0.09556543209875179,0.19647979928999604,0.13920833333335825,0.4257385356557464,0.15703888888890627,0.5579977363527604,0.15703888888890627,1.7990852336851688,0.15703888888890627,2.6004619209546433,0.16438796296294234,3.0571700412538334,0.2035450617283565,7.646663883169715
28510000000.0,-9.578540000000002,-404.7987,51.32979597647746,-934.6399600000002,-73.7815,-1131.8204,-15.573060000000002,-117.8647,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.6636981481481432,0.08090895061725645,0.12862861426618366,0.1329564814814861,0.3479917730481503,0.15703888888890627,0.5853857605033426,0.15703888888890627,1.7361873462725583,0.15703888888890627,2.498246071767852,0.16438796296294234,3.0142312310158843,0.2035450617283565,7.646663883169715
28520000000.0,-9.987953333333335,-404.5774,51.312176238002195,-940.6520111111115,-75.5469,-1152.0023,-15.69482666666667,-111.574,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.677784567901286,0.06245154320991242,0.07466139968829566,0.13023919753088853,0.27546430560603596,0.15703888888890627,0.7217789152271052,0.15703888888890627,1.6544710974935697,0.15703888888890627,2.3986187010886937,0.16438796296294234,2.9793081492357487,0.2035450617283565,7.646663883169715
28530000000.0,-10.416773333333335,-396.0567,51.291574156341156,-946.7200088888893,-77.6277,-1118.1256999999998,-15.769500000000003,-106.11820000000002,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.691196913580224,0.049617283950649904,0.06015578513139275,0.12238117283955541,0.1996838521236981,0.15703888888890627,0.8710504542397999,0.15703888888890627,1.636823847612618,0.15703888888890627,2.283124486009811,0.16438796296294234,2.9261569140313455,0.2035450617283565,7.646663883169715
28540000000.0,-10.711660000000002,-399.0265,51.298917345415575,-952.828628888889,-79.1438,-1146.5596,-15.767513333333335,-102.8475,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.7002024691357653,0.037828086419694706,0.09612433208297944,0.09871913580251879,0.26982398620064174,0.15703888888890627,1.003274449817809,0.15703888888890627,1.6601998565860328,0.15703888888890627,2.1502869086563265,0.16438796296294234,2.8861009053876643,0.2035450617283565,7.646663883169715
28550000000.0,-11.029240000000001,-399.8703,51.324328876269874,-958.961466666667,-74.5884,-1161.8211,-15.704466666666669,-99.6584,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.7085388888889026,0.026815740740803617,0.1364264435941962,0.0719253086420375,0.36270751804211443,0.15215308641978664,1.134328544003587,0.15703888888890627,1.6601998565860328,0.15703888888890627,2.0003953468250018,0.16438796296294234,2.8599246823528333,0.2035450617283565,7.646663883169715
28560000000.0,-11.384013333333334,-399.751,51.35172994147255,-965.1301088888893,-73.7475,-1150.2397999999998,-15.596520000000002,-97.3019,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.7133154320987931,0.01781018518526234,0.19234066304927921,0.05431450617288447,0.463297025649247,0.1468916666666935,1.250466855402351,0.15703888888890627,1.6601998565860328,0.15703888888890627,1.8583432642938504,0.16438796296294234,2.8599246823528333,0.2035450617283565,7.646663883169715
28570000000.0,-11.984613333333336,-405.898,51.387698488424135,-971.2973377777782,-75.4482,-1152.82,-15.419960000000003,-93.7404,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.7156126543209806,0.016593518518591033,0.2370692662719236,0.04080277777780861,0.5853857605033426,0.1439055555555928,1.3639970732724933,0.15703888888890627,1.6601998565860328,0.15703888888890627,1.7177601312352238,0.16438796296294234,2.8599246823528333,0.2035450617283565,7.646663883169715
28580000000.0,-12.571506666666668,-419.2889,51.42800059993535,-977.4825200000002,-73.4788,-1175.3218,-15.159146666666672,-91.0738,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.7180126543210277,0.024274691358084466,0.3025517329107217,0.0545808641975154,0.7217789152271052,0.13535648148153312,1.4588897434461998,0.15703888888890627,1.6601998565860328,0.15703888888890627,1.6601998565860328,0.16438796296294234,2.8599246823528333,0.2035450617283565,7.646663883169715
28590000000.0,-13.142713333333335,-425.589,51.491258008464854,-983.6670288888895,-74.0069,-1162.8121999999998,-14.844313333333334,-89.4037,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.7116947530864552,0.031507716049476775,0.3671726935662676,0.06344290123462581,0.863707265165381,0.13023919753088853,1.5380439385647406,0.15703888888890627,1.6601998565860328,0.15703888888890627,1.6601998565860328,0.16438796296294234,2.8599246823528333,0.2035450617283565,7.646663883169715
28600000000.0,-13.680513333333336,-430.0975,51.5613981425418,-989.8067222222227,-77.7282,-1176.3672,-14.465746666666668,-86.1647,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.7014191358024366,0.04080277777780861,0.44895931690914637,0.06726790123461002,0.9705197298890909,0.12238117283955541,1.5969108228443787,0.15703888888890627,1.6601998565860328,0.15703888888890627,1.6601998565860328,0.16438796296294234,2.8599246823528333,0.2035450617283565,7.646663883169715
28610000000.0,-14.112006666666666,-432.0599,51.65428167438327,-995.9172466666672,-73.9952,-1184.422,-14.035526666666668,-83.8513,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.6937379629629432,0.04826296296294297,0.5220950631034071,0.0704854938271513,1.0741727588721943,0.09871913580251879,1.636823847612618,0.15703888888890627,1.6601998565860328,0.15703888888890627,1.6601998565860328,0.16438796296294234,2.8599246823528333,0.2035450617283565,7.646663883169715
28620000000.0,-14.50014666666667,-426.6859,51.7548711819904,-1002.0016355555559,-74.4817,-1189.297,-13.551066666666665,-83.0078,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.686504938271551,0.04684938271603478,0.6012264680391581,0.07748395061735502,1.1543425233193716,0.09517685185191027,1.6601998565860328,0.15215308641978664,1.6601998565860328,0.15703888888890627,1.6601998565860328,0.16438796296294234,2.8599246823528333,0.2035450617283565,7.646663883169715
